Triwulan,USDTW,CA,IDR
Mar-86,62.9331,-721,"1,132.75"
Jun-86,62.3251,"-1,174.00","1,136.00"
Sep-86,61.1942,"-1,371.00","1,492.80"
Dec-86,62.4267,-833,"1,655.40"
Mar-87,60.4773,-673,"1,651.53"
Jun-87,60.5782,-839,"1,650.50"
Sep-87,60.9387,-584,"1,646.38"
Dec-87,58.6431,-173,"1,651.70"
Mar-88,59.2901,-111,"1,662.60"
Jun-88,60.5403,-497,"1,682.31"
Sep-88,63.3727,-256,"1,704.13"
Dec-88,61.5591,-688,"1,729.38"
Mar-89,64.3096,-418,"1,750.00"
Jun-89,68.0355,-277,"1,771.54"
Sep-89,69.4326,-338,"1,787.38"
Dec-89,69.6101,-247,"1,795.48"
Mar-90,72.9546,-737,"1,823.00"
Jun-90,73.2249,-882,"1,844.00"
Sep-90,70.5077,"-1,292.00","1,864.00"
Dec-90,70.6934,-329,"1,901.00"
Mar-91,73.3824,"-1,238.00","1,932.00"
Jun-91,76.2585,"-1,340.00","1,954.00"
Sep-91,75.1196,-934,"1,968.00"
Dec-91,74.126,-880,"1,992.00"
Mar-92,77.3368,"-1,198.00","2,017.00"
Jun-92,76.2443,"-1,046.00","2,033.00"
Sep-92,75.8731,-851,"2,038.00"
Dec-92,80.8499,-27,"2,062.00"
Mar-93,82.4072,-637,"2,071.00"
Jun-93,82.7197,-295,"2,088.00"
Sep-93,84.4005,-382,"2,108.00"
Dec-93,87.518,-984,"2,110.00"
Mar-94,90.9911,"-1,279.00","2,144.00"
Jun-94,92.0166,-583,"2,160.00"
Sep-94,90.0052,-159,"2,181.00"
Dec-94,92.0418,-939,"2,200.00"
Mar-95,92.738,"-1,807.00","2,219.00"
Jun-95,90.3097,"-1,980.00","2,246.00"
Sep-95,93.8448,"-1,769.00","2,276.00"
Dec-95,95.567,"-1,204.00","2,308.00"
Mar-96,96.6007,"-2,034.00","2,336.00"
Jun-96,97.8128,"-2,588.00","2,342.00"
Sep-96,97.7927,"-2,126.00","2,340.00"
Dec-96,98.9296,"-1,053.00","2,383.00"
Mar-97,102.6546,"-2,301.51","2,419.00"
Jun-97,102.0955,"-1,102.33","2,450.00"
Sep-97,105.6641,"-1,394.32","3,275.00"
Dec-97,112.2393,-401.71,"4,650.00"
Mar-98,114.1786,999.82,"8,325.00"
